trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,window,population_iteration,scoring_iteration,authoritative_recorded_tuple,rows,groups,prevalence,pooled_metric,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate,actual_victim_lowest_label_rate,proposed_victim_lowest_label_rate,actual_victim_label_rank_fraction_mean,proposed_victim_label_rank_fraction_mean,actual_proposed_victim_agreement_rate,proposed_minimum_tuple_tie_decisions,nonconstant_label_decisions,metric_nan_nonconstant_decisions,actual_rejected_decisions,actual_rejected_reused_within_h_share,actual_rejected_avoidable_share,actual_evicted_decisions,actual_evicted_reused_within_h_share,actual_evicted_avoidable_share,primary_exact_tie_pairs,full_tuple_exact_tie_pairs,minimum_positive_primary_pair_margin,minimum_top_two_primary_margin,recorded_argmin_groups,recorded_argmin_mismatches,recorded_argmin_match_rate,scoring_recorded_tuple
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,pi0,train,0,0,True,679524.0,40000.0,0.6359113143906617,0.3648381318530881,nan,0.30011864828460894,39999.0,1.0,2.5e-05,nan,0.688875,0.688875,0.30510927083333333,0.30510927083333333,1.0,75.0,39999.0,0.0,31626.0,0.29042559919053945,0.9804028307022319,8374.0,0.3971817530451397,0.9846662657847264,3321.0,3321.0,7.374170962748394e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,pi0,test,0,0,True,679483.0,40000.0,0.6476865499210429,0.07556173909516138,nan,0.05233041503744082,40000.0,0.0,0.0,nan,0.695025,0.695025,0.30036338541666663,0.30036338541666663,1.0,52.0,40000.0,0.0,33043.0,0.2740671246557516,0.9937058303886925,6957.0,0.4549374730487279,0.995260663507109,101.0,101.0,5.1445983473286105e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,pi1,train,1,1,True,679648.0,40000.0,0.6079647111445925,0.4438435740666849,nan,0.31745473768983523,39974.0,26.0,0.00065,nan,0.687325,0.687325,0.3167011979166667,0.3167011979166667,1.0,26.0,39974.0,0.0,34272.0,0.3026085434173669,0.9794619612380677,5728.0,0.38285614525139666,0.9849521203830369,1357.0,1357.0,5.5192765024969503e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,pi1,test,1,1,True,679678.0,40000.0,0.579862817392942,-0.022224624386791313,nan,-0.054097654807823935,40000.0,0.0,0.0,nan,0.687075,0.687075,0.3496471354166667,0.3496471354166667,1.0,18.0,40000.0,0.0,35066.0,0.29028118405292874,0.998329894881619,4934.0,0.4783137413862992,0.9970338983050847,47.0,47.0,4.098685657538681e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,pi2,train,2,2,True,679561.0,40000.0,0.6411742286564415,0.43353188543146165,nan,0.3130905742645173,39968.0,32.0,0.0008,nan,0.69095,0.69095,0.2994376041666667,0.2994376041666667,1.0,31.0,39968.0,0.0,33524.0,0.29456508769836537,0.9605063291139241,6476.0,0.40009264978381714,0.9687379390196835,662.0,662.0,4.392215213755435e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,pi2,test,2,2,True,679512.0,40000.0,0.5727787000082412,-0.1263476578835614,nan,-0.09806527646241099,39998.0,2.0,5e-05,nan,0.6887,0.6887,0.35778458333333335,0.35778458333333335,1.0,11.0,39998.0,0.0,34632.0,0.2903961653961654,0.9990056676941433,5368.0,0.4502608047690015,0.9991725279271825,18.0,18.0,7.293596571145144e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,pi3,train,3,3,True,679601.0,40000.0,0.6294134352362636,0.44319454036541645,nan,0.3383272330549302,39974.0,26.0,0.00065,nan,0.687375,0.687375,0.30810625,0.30810625,1.0,36.0,39974.0,0.0,33016.0,0.30070268960504,0.9738114423851733,6984.0,0.3804410080183276,0.9777945050809184,540.0,540.0,1.6336410091355447e-07,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,pi3,test,3,3,True,679538.0,40000.0,0.590573301272335,-0.033914660713653545,nan,-0.022207468990314796,40000.0,0.0,0.0,nan,0.68775,0.68775,0.34198343750000004,0.34198343750000004,1.0,11.0,40000.0,0.0,34361.0,0.28794272576467506,0.9961592884576511,5639.0,0.46426671395637525,0.9950343773873186,23.0,23.0,5.5559254086290366e-08,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,0,pi0,train,0,0,True,679552.0,40000.0,0.6375935910717649,0.3675086474550912,nan,0.30155980225708645,39999.0,1.0,2.5e-05,nan,0.687925,0.687925,0.30459260416666667,0.30459260416666667,1.0,69.0,39999.0,0.0,31798.0,0.2930372979432669,0.9731702081991844,8202.0,0.39514752499390393,0.980561555075594,3463.0,3463.0,5.277424284244603e-07,0.0,40000.0,0.0,1.0,1
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,0,pi0,test,0,0,True,679485.0,40000.0,0.6513388816530167,0.07120597073469041,nan,0.0461346024585123,40000.0,0.0,0.0,nan,0.697225,0.697225,0.2962091145833333,0.2962091145833333,1.0,52.0,40000.0,0.0,32997.0,0.27190350637936783,0.9954302273740526,7003.0,0.4513779808653434,0.9962037329958874,109.0,109.0,7.395704759716182e-08,0.0,40000.0,0.0,1.0,1
