trace,l1_fraction,l2_multiplier,cell,target,seed,left_iteration,right_iteration,raw_slope_cosine
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,0,0.9999999999999999
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,1,0.3541315092705893
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,2,0.6918960322511449
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,3,0.47867703484710983
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,0,0.3541315092705893
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,1,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,2,0.779876460710885
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,3,0.9595677160859517
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,0,0.6918960322511449
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,1,0.779876460710885
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,2,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,3,0.899384540547708
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,0,0.47867703484710983
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,1,0.9595677160859517
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,2,0.899384540547708
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,3,1.0000000000000002
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,0,0,0.9999999999999999
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,0,1,0.32455322686312477
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,0,2,0.7162590626944094
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,0,3,0.5419301310881841
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,1,0,0.32455322686312477
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,1,1,0.9999999999999999
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,1,2,0.7443991130303378
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,1,3,0.923191558115846
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,2,0,0.7162590626944094
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,2,1,0.7443991130303378
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,2,2,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,2,3,0.9240070932966737
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,3,0,0.5419301310881841
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,3,1,0.923191558115846
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,3,2,0.9240070932966737
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,3,3,0.9999999999999998
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,0,0,0.9999999999999999
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,0,1,0.3324944513293131
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,0,2,0.6919071973622631
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,0,3,0.5077525268576726
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,1,0,0.3324944513293131
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,1,1,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,1,2,0.7780001797106101
