trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,l1_policy,l1_capacity_bytes,l2_policy,l2_capacity_bytes,hit_model,closure,measured_requests,requested_tokens,requested_blocks,avoided_prefill_tokens,l1_avoided_tokens,l2_avoided_tokens,l1_hit_blocks,l2_hit_blocks,l2_present_unusable_blocks,l2_present_unusable_tokens,l1_evictions,l2_admissions,l2_rejections,l2_evictions,l2_ancestor_copy_bytes,l2_byte_seconds,l2_already_held,offline_tiebreak,l2_eviction,l2_sample_width,l2_seed,l2_arm,l2_decisions,l2_byte_seconds_depth_1,l2_avoided_tokens_depth_1,l2_admitted_bytes_depth_1,l2_byte_seconds_depth_2-3,l2_avoided_tokens_depth_2-3,l2_admitted_bytes_depth_2-3,l2_byte_seconds_depth_4-7,l2_avoided_tokens_depth_4-7,l2_admitted_bytes_depth_4-7,l2_byte_seconds_depth_8-15,l2_avoided_tokens_depth_8-15,l2_admitted_bytes_depth_8-15,l2_byte_seconds_depth_16-31,l2_avoided_tokens_depth_16-31,l2_admitted_bytes_depth_16-31,l2_byte_seconds_depth_32-63,l2_avoided_tokens_depth_32-63,l2_admitted_bytes_depth_32-63,l2_byte_seconds_depth_64+,l2_avoided_tokens_depth_64+,l2_admitted_bytes_depth_64+,label_window_measured_requests,label_window_requested_tokens,label_window_requested_blocks,label_window_l1_avoided_tokens,label_window_l2_avoided_tokens,label_window_avoided_prefill_tokens,label_window_l2_hit_blocks,label_window_present_unusable_tokens,label_window_present_unusable_blocks,replay_seconds,delta_avoided_tokens_vs_pi0,input_token_points_vs_pi0,extra_l2_avoided_tokens,gain_vs_sampled_lru_tokens,headroom_closure,best_generic_heap_arm,delta_tokens_vs_best_generic_heap,best_generic_sampled_arm,delta_tokens_vs_best_generic_sampled
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3258398,2662942,595456,5203,1163,1192,610304,275832,60944,214888,53922,0,655041958129.664,0,prefix_first,sampled,16,0,onpolicy,268810,0.0,0,0,102246337447.93602,165888,2678468608,120780554891.26395,163840,3821893632,137475948482.56,135168,4999213056,158778410727.424,100864,5336481792,98826484660.22401,29696,3564359680,36934221920.256,0,2265407488,2960,32962016,65773,1517568,422400,1939968,825,351744,687,50.10808086395264,0,0.0,595456,526813,0.10791445307178858,lfu,-414403,lfu_s,-10240
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3008030,2662942,345088,5203,674,640,327363,275832,44029,231803,37685,0,655285289551.8718,0,prefix_first,sampled,16,0,onpolicy,269488,0.0,0,0,34808559941.63202,53248,1140477952,57612156422.144,76288,1726273536,89410150111.23198,99840,2699919360,137783946934.27194,64512,3231932416,170590814312.448,51200,2552496128,165079661830.14395,0,2191499264,2960,32962016,65773,1517568,217088,1734656,424,143360,280,48.87119245529175,-250368,-0.4262154869222708,345088,276445,0.056628084309670784,lfu,-664771,lfu_s,-260608
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2692638,2662942,29696,5203,58,1822,932864,275832,43579,232253,36765,0,655168600889.344,0,prefix_first,sampled,16,0,onpolicy,269018,0.0,0,0,6824004112.383999,3072,798588928,23252537694.20801,4096,1448310784,62762505152.51201,8192,2555484160,154184705110.01608,14336,3731447808,175378122919.93594,0,3179710464,232766725900.288,0,2606436352,2960,32962016,65773,1517568,28672,1546240,56,624640,1220,49.17263627052307,-565760,-0.9631249755605505,29696,-38947,-0.007978057116637119,lfu,-980163,lfu_s,-576000
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2708510,2662942,45568,5203,89,614,314368,275832,37777,238055,32171,0,655299507582.976,0,prefix_first,sampled,16,0,onpolicy,270226,0.0,0,0,22048373434.367992,11776,600410112,53818928392.19202,10752,959287296,93166501337.088,10752,1548838912,152394919137.28006,12288,2025287680,192291574190.0799,0,1739862016,141579211091.968,0,1440882688,2960,32962016,65773,1517568,10752,1528320,21,180736,353,49.0116069316864,-549888,-0.9361051798660917,45568,-23075,-0.004726774025378117,lfu,-964291,lfu_s,-560128
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3243550,2662942,580608,5203,1134,1219,624128,275832,60571,215261,53573,0,655056182507.52,0,prefix_first,sampled,16,1,onpolicy,268834,0.0,0,0,102280254183.42397,169984,2727563264,120518496446.46396,165888,3858067456,139134690598.91205,139776,4861081600,156196407506.94403,82432,5319073792,98647151198.20801,22528,3506833408,38279182573.567986,0,2325829632,2960,32962016,65773,1517568,411648,1929216,804,364032,711,50.12216281890869,0,0.0,580608,517093,0.10581222056631892,lfu,-429251,lfu_s,-49859
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2944030,2662942,281088,5203,549,714,365568,275832,43544,232288,37247,0,655251284461.5679,0,prefix_first,sampled,16,1,onpolicy,269535,0.0,0,0,34299573753.856007,54272,1077921792,57889747777.53602,71168,1617033216,92675545698.30397,84992,2647052288,140156058585.08795,47104,3155509248,170809308614.6559,23552,2504220672,159421050032.12802,0,2088275968,2960,32962016,65773,1517568,158720,1676288,310,168448,329,48.86646342277527,-299520,-0.5098896929438209,281088,217573,0.04452174418388125,lfu,-728771,lfu_s,-349379
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2692126,2662942,29184,5203,57,1910,977920,275832,44056,231776,37205,0,655150431244.2882,0,prefix_first,sampled,16,1,onpolicy,268981,0.0,0,0,4430540328.959997,2560,818120704,16419044028.416,4096,1462024192,53981240698.88001,8192,2587938816,151795881224.1921,14336,3907241984,184710716727.29608,0,3294138368,243813008236.544,0,2819065856,2960,32962016,65773,1517568,29184,1546752,57,645632,1261,49.29331111907959,-551424,-0.938719998804265,29184,-34331,-0.007025118004425307,lfu,-980675,lfu_s,-601283
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2728990,2662942,66048,5203,129,579,296448,275832,36750,239082,31094,0,655318348531.712,0,prefix_first,sampled,16,1,onpolicy,270176,0.0,0,0,25892637378.559994,17920,656994304,57422056472.576004,18432,1000984576,90670922024.95996,16384,1518051328,158521487622.144,13312,1860214784,183793485213.69598,0,1534560256,139017759819.77603,0,1301532672,2960,32962016,65773,1517568,16384,1533952,32,154112,301,48.920615434646606,-514560,-0.8759643442881025,66048,2533,0.0005183252426439458,lfu,-943811,lfu_s,-564419
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3273758,2662942,610816,5203,1193,1157,592384,275832,60918,214914,53914,0,655045786667.0082,0,prefix_first,sampled,16,2,onpolicy,268828,0.0,0,0,101642546898.94409,163328,2696296448,119666402746.368,167424,3782701056,138884244455.42404,139776,4961785856,158071338074.11212,101376,5293942784,98471678003.19997,38912,3479707648,38309576488.959984,0,2273613824,2960,32962016,65773,1517568,431616,1949184,843,336896,658,50.0786406993866,0,0.0,610816,535525,0.10984864568378563,lfu,-399043,lfu_s,-8704
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2945054,2662942,282112,5203,551,762,389827,275832,44987,230845,38594,0,655264997879.8081,0,prefix_first,sampled,16,2,onpolicy,269439,0.0,0,0,33353250088.960014,49664,1143658496,56082726352.89601,69632,1701001216,92238739714.048,89600,2686951424,139338764439.55203,47616,3324913664,172098793619.45615,25600,2626287616,162152723664.89594,0,2226528256,2960,32962016,65773,1517568,158208,1675776,309,201728,394,48.9118492603302,-328704,-0.5595712527691162,282112,206821,0.042423802341564315,lfu,-727747,lfu_s,-337408
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2694174,2662942,31232,5203,61,1840,942080,275832,44224,231608,37419,0,655146492303.3601,0,prefix_first,sampled,16,2,onpolicy,269027,0.0,0,0,7069745932.288001,5120,824647680,21807684610.048008,6144,1468979200,63343101030.39998,11776,2623805440,155826842163.2001,8192,3811207168,176068721358.848,0,3232137216,231030397208.57605,0,2707146752,2960,32962016,65773,1517568,24576,1542144,48,640000,1250,49.25371527671814,-579584,-0.9866583460041115,31232,-44059,-0.009037526689103051,lfu,-978627,lfu_s,-588288
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,2707998,2662942,45056,5203,88,690,352963,275832,38219,237613,32574,0,655277556367.36,0,prefix_first,sampled,16,2,onpolicy,270187,0.0,0,0,23867946508.288006,13824,637968384,51405156106.240005,10752,1004132352,90004969730.048,11776,1648510976,151553994065.91986,8704,2116728832,191026498336.76807,0,1812264960,147418991620.09604,0,1494495232,2960,32962016,65773,1517568,12288,1529856,24,205312,401,49.11617112159729,-565760,-0.9631249755605505,45056,-30235,-0.006201902436392809,lfu,-964803,lfu_s,-574464
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3575838,2662942,912896,5203,1783,730,373760,275832,58828,217004,50849,0,655039751522.304,0,prefix_first,sampled,16,1,onpolicy,267853,0.0,0,0,77469515810.81604,161280,2350108672,105340701730.81607,199168,3492868096,140329616908.288,225792,4690585600,161419956217.85593,186368,4943337472,122778863765.50398,125952,3353114624,47701097089.02397,14336,2308155392,2960,32962016,65773,1517568,620544,2138112,1212,189952,371,51.99900984764099,0,0.0,912896,849381,0.17380797983504037,lfu,-96963,lfu_s,282429
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3228120,2662942,565178,5203,1105,897,458871,275832,43183,232649,35727,0,655655599685.6321,0,prefix_first,sampled,16,1,onpolicy,268376,0.0,0,0,61998937593.855995,109815,1398308864,89301604378.62402,127171,2225537024,125662751977.47208,153088,3276447744,171007033229.31198,133120,3981889536,125522560473.08797,41984,2832631808,82162712033.28003,0,2039326720,2960,32962016,65773,1517568,373117,1890685,729,257536,503,52.25881028175354,-347718,-0.5919398512654898,565178,501663,0.10265479518377013,lfu,-444681,lfu_s,-65289
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3166945,2662942,504003,5203,985,739,378368,275832,46216,229616,39133,0,655313962110.976,0,prefix_first,sampled,16,1,onpolicy,268749,0.0,0,0,52574426869.759995,89088,1236996096,81623327737.85603,112835,1998819328,119969632813.05603,146432,3070355456,173554679244.79996,117248,3887941632,137951202047.9999,38400,2873683968,89640693397.504,0,2036561920,2960,32962016,65773,1517568,329728,1847296,644,248832,486,52.140124797821045,-408893,-0.6960814844313493,504003,440488,0.09013661645548614,lfu,-505856,lfu_s,-126464
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3069034,2662942,406092,5203,794,1254,641524,275832,48665,227167,41466,0,655420220000.256,0,prefix_first,sampled,16,1,onpolicy,268633,0.0,0,0,41454709426.17602,69513,1185751040,70475046461.44,92867,2042048512,113440742432.768,116736,3245406208,178806456324.09598,96768,4432089088,144277733365.75992,30208,3523848192,106965531990.01605,0,2671298560,2960,32962016,65773,1517568,259584,1777152,507,363389,710,51.95600485801697,-506804,-0.8627608705351902,406092,342577,0.07010118699140742,lfu,-603767,lfu_s,-224375
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,pi0,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3525662,2662942,862720,5203,1685,809,414208,275832,59163,216669,51203,0,655066149572.6079,0,prefix_first,sampled,16,0,onpolicy,267872,0.0,0,0,78014111551.48798,155648,2363494400,107443993948.16002,194048,3410948096,139228481601.53598,232960,4653424640,161941221462.01596,174592,4951787520,123285592397.82404,91648,3486625792,45152748611.584,13824,2392641536,2960,32962016,65773,1517568,615936,2133504,1203,182784,357,51.9813711643219,0,0.0,862720,794077,0.16266186512460146,lfu,-147139,lfu_s,257024
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,pi1,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3251672,2662942,588730,5203,1151,836,427639,275832,42973,232859,35547,0,655636211689.4719,0,prefix_first,sampled,16,0,onpolicy,268406,0.0,0,0,60468660862.97603,106231,1392629760,91010039502.84795,127171,2195230720,128590090524.67194,154112,3235045376,167738800795.6481,142336,3881662464,125598482767.87193,57856,2793203712,82230137235.45598,1024,1998419968,2960,32962016,65773,1517568,371069,1888637,725,238080,465,52.1992130279541,-273990,-0.46642854223316466,588730,520087,0.10653667269932084,lfu,-421129,lfu_s,-16966
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,pi2,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3152097,2662942,489155,5203,956,744,380404,275832,46360,229472,39338,0,655308010520.576,0,prefix_first,sampled,16,0,onpolicy,268810,0.0,0,0,50733474684.927986,84992,1276620800,81170516967.42401,110275,2067685376,118966186817.53606,143360,3109758976,174152322338.816,112128,3969589248,144288815460.352,38400,2890563584,85996694251.52003,0,2053140480,2960,32962016,65773,1517568,320512,1838080,626,255869,500,52.33126163482666,-373565,-0.6359406488533602,489155,420512,0.08613933689966641,lfu,-520704,lfu_s,-116541
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,pi3,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3065450,2662942,402508,5203,787,1278,653812,275832,49315,226517,42095,0,655432435636.2239,0,prefix_first,sampled,16,0,onpolicy,268612,0.0,0,0,40063922663.42399,67465,1163046912,69925755938.81595,90819,2009067520,113988269969.40804,117248,3303901184,176609488709.63202,96768,4441618432,143896589883.39197,30208,3520520192,110948408471.55191,0,2709321728,2960,32962016,65773,1517568,260096,1777664,508,380285,743,52.34240198135376,-460212,-0.7834446960772626,402508,333865,0.06839022361789229,lfu,-607351,lfu_s,-203188
