trace,cell,target,iteration,window,mean_delta_input_token_points,min_seed_points,max_seed_points,mean_delta_tokens,positive_seeds,negative_seeds,zero_seeds,same_ranking_sign_seeds,opposite_ranking_sign_seeds
conversation_trace,"l1=0.0025,l2x1",binary,0,full,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x1",binary,0,label,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x1",binary,1,full,-0.5067519102180128,-0.5595712527691162,-0.4262154869222708,-297676.8,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",binary,1,label,-0.744964142969896,-0.8294638289114356,-0.6228745232087746,-245555.2,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",binary,2,full,-0.9535373061205812,-0.9866583460041115,-0.9317471483024693,-560128.0,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",binary,2,label,-1.1867235305025032,-1.2348759250647776,-1.1603173786457721,-391168.0,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",binary,3,full,-0.9258202253759427,-0.9631249755605505,-0.8759643442881025,-543846.4,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x1",binary,3,label,-1.2445064039772327,-1.2721551982742803,-1.1991499549056708,-410214.4,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x1",next_use,0,full,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,0,label,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,1,full,-0.5273851468444694,-0.5971439538006436,-0.46642854223316466,-309797.2,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,1,label,-0.7344884487647843,-0.7910286797991968,-0.6434648900115818,-242102.2,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,2,full,-0.6892601436206326,-0.7564249003828037,-0.6359406488533602,-404886.0,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,2,label,-0.9137323396724278,-1.0376064376644925,-0.8376277713110751,-301184.6,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x1",next_use,3,full,-0.80283895794903,-0.8627608705351902,-0.6832099701139474,-471604.6,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x1",next_use,3,label,-1.0665773598313888,-1.1203289264831375,-0.9444082546407355,-351565.4,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x4",binary,0,full,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x4",binary,0,label,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x4",binary,1,full,-1.5618395230801778,-1.6179260274191345,-1.4035108744889122,-917457.6,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x4",binary,1,label,-1.9295130492018449,-1.9928878136579995,-1.8111513567616737,-636006.4,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x4",binary,2,full,-1.6822001835582465,-1.7310101370708175,-1.6168297101039106,-988160.0,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x4",binary,2,label,-1.747776592305519,-1.9167759641885982,-1.5781558992022817,-576102.4,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x4",binary,3,full,-1.9405442946497824,-2.0613489295933953,-1.8652375092303874,-1139916.8,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x4",binary,3,label,-2.283355484082042,-2.3858734854081742,-2.187050694957493,-752640.0,0,5,0,5,0
conversation_trace,"l1=0.0025,l2x4",next_use,0,full,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x4",next_use,0,label,0.0,0.0,0.0,0.0,0,0,5,0,0
conversation_trace,"l1=0.0025,l2x4",next_use,1,full,-0.4347207983668685,-0.6390253180694867,-0.2633629972852357,-255364.2,0,5,0,0,0
conversation_trace,"l1=0.0025,l2x4",next_use,1,label,-0.18240935263182928,-0.37595091271116426,0.12421266951633056,-60125.8,1,4,0,0,0
