trace,cell,target,seed,population_iteration,policy,decision_type,decisions,discriminative_decisions,constant_label_decisions,native_min_correct_rate_all,native_uniform_expected_min_correct_rate_all,native_min_correct_rate_discriminative,native_uniform_expected_min_correct_rate_discriminative,native_rank_fraction_mean,native_gap_positive_rate,native_gap_mean,count_min_positive_rate,count_gap_positive_rate,count_gap_mean,proxy_min_positive_rate,proxy_gap_positive_rate,proxy_gap_mean_tokens,proxy_gap_p50_tokens,proxy_gap_p90_tokens,proxy_gap_p99_tokens,proxy_gap_sum_sampled_tokens,proxy_gap_top1pct_share_all_decisions,proxy_gap_top10pct_share_all_decisions
conversation_trace,"l1=0.0025,l2x1",binary,0,0,pi0,all,40000,39969,31,0.694425,0.35044025735294115,0.6941879956966649,0.34993645810797486,0.31725447916666666,0.305575,0.305575,0.000775,0.305925,0.5974,0.000775,0.305925,305.74225,0.0,1024.0,3072.0,12229690.0,0.11265960134721321,0.5867425911858763
conversation_trace,"l1=0.0025,l2x1",binary,0,0,pi0,arrival_rejection,32298,32280,18,0.728094618861849,0.3495517843027978,0.7279429987608427,0.34918908083679573,0.29889911914050404,0.271905381138151,0.271905381138151,0.0005573100501579045,0.27212211282432347,0.48315685181745,0.0005573100501579045,0.27212211282432347,247.2978202984705,0.0,1024.0,2560.0,7987225.0,0.12993549073677027,0.6200621617645677
conversation_trace,"l1=0.0025,l2x1",binary,0,0,pi0,resident_eviction,7702,7689,13,0.5532329265125941,0.3541660302136954,0.5524775653531019,0.353074101275313,0.3942268783000087,0.44676707348740585,0.44676707348740585,0.0016878732796676188,0.44767592833030384,1.0764736432095559,0.0016878732796676188,0.44767592833030384,550.8264087250064,0.0,1536.0,3072.0,4242465.0,0.06818677349135467,0.46849744193528997
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,all,40000,39995,5,0.677825,0.5617750919117647,0.6777847230903863,0.5617203069501334,0.43835229166666667,0.322175,0.322175,0.0,0.322175,0.65325,0.0,0.322175,334.33915,0.0,1024.0,3072.0,13373566.0,0.10405721256394891,0.5735397724137302
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,arrival_rejection,37048,37044,4,0.6883502483264954,0.5620578073596098,0.6883165964798618,0.5620105184931115,0.43290714073634207,0.3116497516735046,0.3116497516735046,0.0,0.3116497516735046,0.6093176419779746,0.0,0.3116497516735046,311.8958648240121,0.0,1024.0,3072.0,11555118.0,0.1101974034362955,0.5789462297139675
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,resident_eviction,2952,2951,1,0.5457317073170732,0.5582269747329826,0.5455777702473738,0.5580772719118146,0.50668967366757,0.45426829268292684,0.45426829268292684,0.0,0.45426829268292684,1.2046070460704608,0.0,0.45426829268292684,616.0054200542005,0.0,2048.0,3584.0,1818448.0,0.06447696057297211,0.4431735193967603
conversation_trace,"l1=0.0025,l2x1",binary,1,0,pi0,all,40000,39952,48,0.695625,0.35153694852941175,0.6952593111734081,0.3507578579589625,0.31719947916666663,0.304375,0.304375,0.0012,0.3048,0.59305,0.0012,0.3048,303.5211,0.0,1024.0,3072.0,12140844.0,0.11382141142740983,0.5876204323192028
conversation_trace,"l1=0.0025,l2x1",binary,1,0,pi0,arrival_rejection,32356,32320,36,0.7293546791939671,0.35155221688131305,0.7290532178217822,0.3508299359347699,0.29929244189640253,0.2706453208060329,0.2706453208060329,0.0011126220793670418,0.27101619483248857,0.47963283471380885,0.0011126220793670418,0.27101619483248857,245.48800840647795,0.0,1024.0,2560.0,7943010.0,0.129562974237726,0.6215155211941065
conversation_trace,"l1=0.0025,l2x1",binary,1,0,pi0,resident_eviction,7644,7632,12,0.5528519099947672,0.3514723196971096,0.5521488469601677,0.3504526220865704,0.3929975034885748,0.44714809000523287,0.44714809000523287,0.0015698587127158557,0.4478021978021978,1.0731292517006803,0.0015698587127158557,0.4478021978021978,549.1671899529042,0.0,1536.0,3584.0,4197834.0,0.06927763222652444,0.4715269827249005
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,all,40000,39996,4,0.67975,0.5551983455882353,0.6797179717971797,0.5551538609743327,0.43383510416666665,0.32025,0.32025,0.0,0.32025,0.64405,0.0,0.32025,329.669025,0.0,1024.0,3072.0,13186761.0,0.1054924708197866,0.5758017454020741
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,arrival_rejection,37295,37291,4,0.6892612950797694,0.5556414280419233,0.6892279638518678,0.555593764147476,0.42901444563614427,0.3107387049202306,0.3107387049202306,0.0,0.3107387049202306,0.6033516557179247,0.0,0.3107387049202306,308.85526209947716,0.0,1024.0,3072.0,11518757.0,0.11090085501413043,0.5814405148055471
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,resident_eviction,2705,2705,0,0.5486136783733826,0.5490893769707513,0.5486136783733826,0.5490893769707513,0.5002995995070857,0.45138632162661735,0.45138632162661735,0.0,0.45138632162661735,1.2051756007393715,0.0,0.45138632162661735,616.6373382624769,0.0,2048.0,3584.0,1668004.0,0.06691590667648278,0.4392507452020499
conversation_trace,"l1=0.0025,l2x1",binary,2,0,pi0,all,40000,39938,62,0.69385,0.3519073529411765,0.6933747308327908,0.35090124987848814,0.31833869791666664,0.30615,0.30615,0.00155,0.306925,0.59585,0.00155,0.306925,304.956475,0.0,1024.0,3072.0,12198259.0,0.11122898767766777,0.5839731719092044
conversation_trace,"l1=0.0025,l2x1",binary,2,0,pi0,arrival_rejection,32399,32357,42,0.7290039816043705,0.3514923300101854,0.7286522236301264,0.3506505547485861,0.29944693509058923,0.2709960183956295,0.2709960183956295,0.001296336306676132,0.2716133213988086,0.478162906262539,0.001296336306676132,0.2716133213988086,244.7311645421155,0.0,1024.0,2560.0,7929045.0,0.1261105215066884,0.6197043906296408
