trace,cell,target,seed,population_iteration,policy,scoring_iteration,scoring_policy,proposed_actual_agreement_rate,decision_type,decisions,discriminative_decisions,constant_label_decisions,native_min_correct_rate_all,native_uniform_expected_min_correct_rate_all,native_min_correct_rate_discriminative,native_uniform_expected_min_correct_rate_discriminative,native_rank_fraction_mean,native_gap_positive_rate,native_gap_mean,count_min_positive_rate,count_gap_positive_rate,count_gap_mean,proxy_min_positive_rate,proxy_gap_positive_rate,proxy_gap_mean_tokens,proxy_gap_p50_tokens,proxy_gap_p90_tokens,proxy_gap_p99_tokens,proxy_gap_sum_sampled_tokens,proxy_gap_top1pct_share_all_decisions,proxy_gap_top10pct_share_all_decisions
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,0,pi0,0.01505,all,40000,39995,5,0.897825,0.5617750919117647,0.897812226528316,0.5617203069501334,0.32146427083333334,0.102175,0.102175,0.0,0.102175,0.1811,0.0,0.102175,92.716425,0.0,512.0,1024.0,3708657.0,0.11196290193458171,0.9880493127296485
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,0,pi0,0.9615384615384616,arrival_rejection,468,468,0,0.9337606837606838,0.5,0.9337606837606838,0.5,0.26956463675213677,0.06623931623931624,0.06623931623931624,0.0,0.06623931623931624,0.10897435897435898,0.0,0.06623931623931624,55.794871794871796,0.0,0.0,1192.9599999999919,26112.0,0.39215686274509803,1.0
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,0,pi0,0.003844986340180107,resident_eviction,39532,39527,5,0.8973995750278255,0.5625064169905541,0.8973865965036557,0.562451075884094,0.3220786852001754,0.10260042497217445,0.10260042497217445,0.0,0.10260042497217445,0.18195386016391785,0.0,0.10260042497217445,93.15352119801679,0.0,512.0,1024.0,3682545.0,0.11025418562434404,0.985879059183255
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,3,pi3,1.0,all,40000,39995,5,0.677825,0.5617750919117647,0.6777847230903863,0.5617203069501334,0.43835229166666667,0.322175,0.322175,0.0,0.322175,0.65325,0.0,0.322175,334.33915,0.0,1024.0,3072.0,13373566.0,0.10405721256394891,0.5735397724137302
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,3,pi3,1.0,arrival_rejection,37048,37044,4,0.6883502483264954,0.5620578073596098,0.6883165964798618,0.5620105184931115,0.43290714073634207,0.3116497516735046,0.3116497516735046,0.0,0.3116497516735046,0.6093176419779746,0.0,0.3116497516735046,311.8958648240121,0.0,1024.0,3072.0,11555118.0,0.1101974034362955,0.5789462297139675
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,3,pi3,1.0,resident_eviction,2952,2951,1,0.5457317073170732,0.5582269747329826,0.5455777702473738,0.5580772719118146,0.50668967366757,0.45426829268292684,0.45426829268292684,0.0,0.45426829268292684,1.2046070460704608,0.0,0.45426829268292684,616.0054200542005,0.0,2048.0,3584.0,1818448.0,0.06447696057297211,0.4431735193967603
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,0,pi0,0.020925,all,40000,39996,4,0.838075,0.5551983455882353,0.838058805880588,0.5551538609743327,0.3497154166666666,0.161925,0.161925,0.0,0.161925,0.27615,0.0,0.161925,141.339425,0.0,1024.0,1024.0,5653577.0,0.07308364244442059,0.7251310099782845
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,0,pi0,0.9673590504451038,arrival_rejection,674,674,0,0.9287833827893175,0.5186769069645663,0.9287833827893175,0.5186769069645663,0.2821309347181009,0.0712166172106825,0.0712166172106825,0.0,0.0712166172106825,0.09347181008902077,0.0,0.0712166172106825,46.14540059347181,0.0,0.0,832.7399999999952,31102.0,0.3457012410777442,1.0
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,0,pi0,0.004704266897218126,resident_eviction,39326,39322,4,0.8365203682042415,0.5558242788037251,0.8365037383652917,0.5557790953724453,0.35087373281459255,0.16347963179575853,0.16347963179575853,0.0,0.16347963179575853,0.2792808828764685,0.0,0.16347963179575853,142.97093525911612,0.0,1024.0,1024.0,5622475.0,0.07175772235536841,0.7163023401615837
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,3,pi3,1.0,all,40000,39996,4,0.67975,0.5551983455882353,0.6797179717971797,0.5551538609743327,0.43383510416666665,0.32025,0.32025,0.0,0.32025,0.64405,0.0,0.32025,329.669025,0.0,1024.0,3072.0,13186761.0,0.1054924708197866,0.5758017454020741
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,3,pi3,1.0,arrival_rejection,37295,37291,4,0.6892612950797694,0.5556414280419233,0.6892279638518678,0.555593764147476,0.42901444563614427,0.3107387049202306,0.3107387049202306,0.0,0.3107387049202306,0.6033516557179247,0.0,0.3107387049202306,308.85526209947716,0.0,1024.0,3072.0,11518757.0,0.11090085501413043,0.5814405148055471
