trace,capacity_fraction,seeds,signal_gap_closure_mean,signal_gap_closure_ci95_half,signal_gap_tokens_mean,signal_gap_observed_norm_closure_mean,signal_gap_observed_norm_closure_ci95_half,signal_gap_observed_norm_tokens_mean,signal_gap_vs_lfu_closure_mean,signal_gap_vs_lfu_closure_ci95_half,signal_gap_vs_lfu_tokens_mean,objective_gap_next_use_closure_mean,objective_gap_next_use_closure_ci95_half,objective_gap_next_use_tokens_mean,objective_gap_per_byte_closure_mean,objective_gap_per_byte_closure_ci95_half,objective_gap_per_byte_tokens_mean,objective_gap_count_closure_mean,objective_gap_count_closure_ci95_half,objective_gap_count_tokens_mean,candidate_search_gap_closure_mean,candidate_search_gap_closure_ci95_half,candidate_search_gap_tokens_mean,learned_history_closure_mean,learned_history_closure_ci95_half,learned_history_observed_norm_closure_mean,learned_history_observed_norm_closure_ci95_half,online_closure_mean,online_closure_ci95_half,lfu_closure_mean,lfu_closure_ci95_half,oracle_binary_closure_mean,oracle_binary_closure_ci95_half,oracle_binary_per_byte_closure_mean,oracle_binary_per_byte_closure_ci95_half,oracle_count_closure_mean,oracle_count_closure_ci95_half,oracle_next_use_sampled_closure_mean,oracle_next_use_sampled_closure_ci95_half
conversation_trace,0.001,5,0.05308106442427637,0.00045284062265556825,143317.6,-0.1081055535308462,0.011230575752548237,-291882.4,-0.1063988716936743,0.000452840622655568,-287274.4,0.9282738068782834,0.0024065651787720573,2506317.0,0.08364703982553919,0.0005264165311099014,225845.0,0.4177430466048587,0.0005157807573540944,1127896.2,0.010111719511580852,0.002465024359477915,27301.4,0.008533409185859429,0.0,0.169720027140982,0.011591926294325882,0.05686591288218858,0.020746679743181916,0.1680133453038101,0.0,0.0616144736101358,0.00045284062265556825,0.14526151343567495,0.0003069509469553182,0.47935752021499456,0.00012894518933854603,0.9898882804884191,0.002465024359477915
conversation_trace,0.0025,5,0.06324862160060304,0.003068950104886872,327960.6,-0.053778794967793565,0.012565627902104594,-278861.8,-0.05960544109909196,0.0012035847919529884,-309069.8,0.8118749886947241,0.0023958213706050872,4209779.4,0.025791749531892665,0.0012744695784161423,133737.4,0.4201044046285312,0.0015168048762484543,2178349.2,0.06097923363023781,0.002612756040709972,316193.4,0.06389715607443512,0.0032643187262629118,0.18092457264283174,0.012775467079510388,0.05601418883782102,0.017109707950362766,0.18675121877413015,0.00019227323826493452,0.12714577767503815,0.001134373608710622,0.15293752720693082,0.0007753102122035176,0.5472501823035694,0.0011587002425108293,0.9390207663697622,0.002612756040709972
conversation_trace,0.005,5,0.08732253654658635,0.007162134219042126,730203.8,-0.0007177390585377974,0.014611608416649895,-6052.2,-0.012321225297638471,0.0017954652653020746,-103025.0,0.6728048736953455,0.002091791729662353,5626039.0,0.0025947533202768215,0.004110008055864476,21695.8,0.3571113974543688,0.002539213136369425,2986185.6,0.11982845579608378,0.002282380319621708,1002009.6,0.12004413396198435,0.0070158845756081445,0.20808440956710852,0.01624762060794039,0.08518803945625901,0.014215220240784664,0.21968789580620918,0.0002417587226311512,0.2073666705085707,0.0018482058795681697,0.20996142382884755,0.0037259499874693325,0.5644780679629395,0.0017224368069680871,0.8801715442039162,0.002282380319621708
conversation_trace,0.01,5,0.24132717343708143,0.003077894320443009,2877184.4,0.1932905102491795,0.006757591933039541,2304461.2,0.2187659693218532,0.0017331671502694896,2608206.0,0.4304032115188502,0.002965140993887916,5131424.6,0.0012649026169980425,0.003994094995461716,15080.0,0.18741979164065756,0.0028366353605640687,2234487.4,0.13545984518133608,0.0013329871911887598,1615000.6,0.19280976986273238,0.002326829638174668,0.24084643305063427,0.00786395366021127,0.11748993775883339,0.00662986880053637,0.21537097397796062,0.0009484901923071001,0.4341369432998138,0.002171083968458724,0.43540184591681175,0.0019414250896985898,0.6215567349404714,0.0016780109639808586,0.8645401548186639,0.0013329871911887598
conversation_trace,0.02,5,0.4663568745649628,0.003818418543812708,6900717.8,0.460219681455629,0.006741010519969149,6809919.4,0.5624703197748435,0.0025479271732441458,8322929.2,0.1261142521633632,0.0028379903064054083,1866124.0,3.1937759806166534e-05,0.002065111970002007,476.2,0.04568493192265723,0.0011180986508728108,676006.2,0.15418672932080585,0.0018588359069703847,2281532.0,0.2533421439508682,0.003957086681854551,0.259479337060202,0.005070100624163479,0.1657170033537502,0.016517653413817803,0.15722869874098733,0.0024351740757265583,0.719699018515831,0.0017644794058595693,0.7197309562756371,0.00129581637399032,0.7653839504384882,0.001214434195619683,0.8458132706791941,0.0018588359069703847
conversation_trace,0.05,5,0.7722967545803925,0.007558281746554383,8853702.2,0.7639272767953578,0.0038681176482082635,8757720.4,1.0695182777588441,0.003954269007901438,12261040.0,-0.03925714361388142,0.0015000455873243857,-450047.4,8.949812093275166e-05,0.00024844678370931856,1024.0,0.0002865701142236388,0.0003430020825510198,3283.0,0.18262657768050755,0.001445693972903763,2093646.4,0.08433381135298137,0.0072713826154541,0.09270328913801615,0.0039435438020793,-0.01287145937062012,0.01573629173971086,-0.21288771182547012,0.004186289591992017,0.8566305659333739,0.00044044457282105417,0.8567200640543067,0.00032112373418696153,0.8569171360475976,0.0001648475069389292,0.8173734223194925,0.001445693972903763
conversation_trace,0.1,5,0.8124165358292121,0.05294528711847878,5200759.8,0.8246202823855293,0.005191339314711348,5279059.0,1.4586394954540292,0.006886486592882861,9337897.6,0.14672218256551742,0.0026537863159367637,939290.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0562928388766295,0.0022828306759610575,360370.0,-0.015431557271358998,0.05344751931006466,-0.027635303827676143,0.005524581084966592,-0.1342071119518396,0.017897802185293066,-0.6616545168961759,0.007431575498287352,0.7969849785578532,0.0008939596783925155,0.7969849785578532,0.0008939596783925155,0.7969849785578532,0.0008939596783925155,0.9437071611233705,0.0022828306759610575
synthetic_trace,0.001,5,0.042831687640994605,0.0,61440.0,0.03397980552852238,0.006723123048152549,48742.4,-0.012135644831615139,0.0,-17408.0,0.9478881133701232,0.0,1359700.0,0.05841255057680563,9.631184738623232e-18,83790.0,0.2587747794976758,0.0,371200.0,0.0,0.0,0.0,0.009280198988882165,0.0,0.018132081101354385,0.006723123048152549,0.02741228009023655,0.02000024123531386,0.06424753146149191,0.0,0.05211188662987677,0.0,0.11052443720668241,0.0,0.31088666612755256,0.0,1.0,0.0
synthetic_trace,0.0025,5,0.07366665244402813,0.0,222720.0,0.029195703175518273,0.003979601096552438,88268.8,-0.05893332195522251,9.631184738623232e-18,-178176.0,0.9393731917816964,0.0,2840053.0,0.0591681608706107,0.0,178886.0,0.27044975621405265,0.0,817664.0,0.0,0.0,0.0,-0.01303984422572452,2.407796184655808e-18,0.03143110504278533,0.003979601096552439,0.06218481558033824,0.01645888153496144,0.11956013017352611,0.0,0.06062680821830361,0.0,0.11979496908891432,1.9262369477246465e-17,0.3310765644323563,0.0,1.0,0.0
synthetic_trace,0.005,5,0.07533169817285436,0.0,342668.0,0.11409647710632434,0.01643388066793226,519000.8,0.027607347801799565,4.815592369311616e-18,125580.0,0.8798264768930808,0.0,4002145.0,0.05539681000811425,0.0005265659843273738,251988.4,0.17206953323181182,0.0,782708.0,0.0,0.0,0.0,0.04484182493406487,0.0,0.0060770460005948835,0.016433880667932263,0.057040720068572096,0.026182309364805832,0.09256617530511967,0.0,0.12017352310691923,0.0,0.17557033311503348,0.0005265659843273738,0.29224305633873104,0.0,1.0,0.0
