trace,l1_fraction,l2_multiplier,cell,arm,kind,target,seed,seconds,l2_admissions,l2_decisions,l1_evictions,l2_rejections,l2_evictions,removal_rejections,removal_rejections_window,removal_promotions,resident_evictions,resident_evictions_window,evictions_with_orphans,evictions_with_orphans_window,share_evictions_with_orphans,share_evictions_with_orphans_window,orphaned_blocks,orphaned_blocks_window,orphaned_bytes,orphaned_bytes_window,orphaned_blocks_per_eviction,row_type,seeds,removal_rejections_mean,removal_rejections_std,removal_rejections_ci95_half,removal_rejections_window_mean,removal_rejections_window_std,removal_rejections_window_ci95_half,removal_promotions_mean,removal_promotions_std,removal_promotions_ci95_half,resident_evictions_mean,resident_evictions_std,resident_evictions_ci95_half,resident_evictions_window_mean,resident_evictions_window_std,resident_evictions_window_ci95_half,evictions_with_orphans_mean,evictions_with_orphans_std,evictions_with_orphans_ci95_half,evictions_with_orphans_window_mean,evictions_with_orphans_window_std,evictions_with_orphans_window_ci95_half,share_evictions_with_orphans_mean,share_evictions_with_orphans_std,share_evictions_with_orphans_ci95_half,share_evictions_with_orphans_window_mean,share_evictions_with_orphans_window_std,share_evictions_with_orphans_window_ci95_half,orphaned_blocks_mean,orphaned_blocks_std,orphaned_blocks_ci95_half,orphaned_blocks_window_mean,orphaned_blocks_window_std,orphaned_blocks_window_ci95_half,orphaned_bytes_mean,orphaned_bytes_std,orphaned_bytes_ci95_half,orphaned_bytes_window_mean,orphaned_bytes_window_std,orphaned_bytes_window_ci95_half,orphaned_blocks_per_eviction_mean,orphaned_blocks_per_eviction_std,orphaned_blocks_per_eviction_ci95_half,l2_admissions_mean,l2_admissions_std,l2_admissions_ci95_half,l2_decisions_mean,l2_decisions_std,l2_decisions_ci95_half,l1_evictions_mean,l1_evictions_std,l1_evictions_ci95_half
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lfu_s,sampled,,0,15.814759492874146,45827,269505,275832,230005,39500,230005,98849,5885,39500,11230,12632,2608,0.3197974683544304,0.23223508459483527,47772,7361,49399324672,7595726848,1.2094177215189874,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lfu_s,sampled,,1,15.653088808059692,45536,269546,275832,230296,39250,230296,99052,5844,39250,11052,12562,2511,0.32005095541401274,0.2271986970684039,48543,7619,50201645056,7897026560,1.236764331210191,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lfu_s,sampled,,2,15.814740419387817,45692,269545,275832,230140,39405,230140,98902,5845,39405,11186,12622,2569,0.32031468087806114,0.22966207759699625,48530,7087,50202726400,7323631616,1.2315695977667809,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lfu_s,sampled,,3,14.50067663192749,45531,269527,275832,230301,39226,230301,98935,5863,39226,11153,12626,2565,0.3218783459950033,0.22998296422487224,48572,7194,50246686720,7436163072,1.2382603375312293,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lfu_s,sampled,,4,15.664415836334229,45575,269520,275832,230257,39263,230257,98943,5870,39263,11143,12522,2498,0.31892621552097394,0.22417661312034462,46919,6975,48531656704,7223494656,1.1949927412576726,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lru_2hit_s,sampled,,0,8.301567316055298,93471,91057,275832,182361,91022,182361,70767,2006,91022,40587,43315,19264,0.47587396453604625,0.4746347352600586,219371,95159,229947478016,99743447040,2.4100876711124783,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lru_2hit_s,sampled,,1,8.26896858215332,93462,91043,275832,182370,90999,182370,70776,2020,90999,40565,43414,19251,0.47708216573808504,0.47457167508936277,218530,94867,229050882048,99427905536,2.401454961043528,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lru_2hit_s,sampled,,2,8.380993843078613,93470,91067,275832,182362,91031,182362,70768,1996,91031,40585,43365,19266,0.4763761795432325,0.4747074042133793,219217,96316,229779197952,100947120128,2.408157660577166,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lru_2hit_s,sampled,,3,8.309943675994873,93468,91034,275832,182364,90996,182364,70767,2029,90996,40575,43216,19204,0.4749219745922898,0.4732963647566235,220400,97126,231021395968,101800353792,2.422084487230208,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",lru_2hit_s,sampled,,4,8.2530357837677,93455,91051,275832,182377,91000,182377,70778,2012,91000,40565,43443,19295,0.4773956043956044,0.4756563539997535,218510,95161,229038180352,99734503424,2.4012087912087914,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
