trace,l1_fraction,l2_multiplier,arm,target,kind,cell,seeds,l1_avoided_tokens,requested_tokens,avoided_prefill_tokens_mean,avoided_prefill_tokens_std,avoided_prefill_tokens_ci95_half,extra_avoided_tokens_mean,extra_avoided_tokens_std,extra_avoided_tokens_ci95_half,extra_fraction_of_input_mean,extra_fraction_of_input_std,extra_fraction_of_input_ci95_half,headroom_closure_mean,headroom_closure_std,headroom_closure_ci95_half,gain_vs_lru_s_fraction_mean,gain_vs_lru_s_fraction_std,gain_vs_lru_s_fraction_ci95_half,l2_hit_blocks_mean,l2_hit_blocks_std,l2_hit_blocks_ci95_half,l2_admissions_mean,l2_admissions_std,l2_admissions_ci95_half,l2_rejections_mean,l2_rejections_std,l2_rejections_ci95_half,l2_evictions_mean,l2_evictions_std,l2_evictions_ci95_half,seconds_mean,seconds_std,seconds_ci95_half
conversation_trace,0.0025,1.0,A_none,binary,learned,"l1=0.0025,l2x1",5,2662942,58742117,3260753.2,11912.117662279868,14788.47645207245,597811.2,11912.117662279868,14788.47645207245,0.01017687530737103,0.00020278665922577913,0.00025175252795319624,0.10838000005182329,0.001969697764790196,0.0024453107195655894,0.19367870567145853,0.003337721699741726,0.004143664473404365,1167.6,23.265854809140368,28.883743070454003,60797.8,230.7838815862148,286.5100979620788,215034.2,230.7838815862148,286.5100979620788,53784.8,210.04689952484424,260.76586174850416,76.37809906005859,15.86794603510558,19.699498689975414
conversation_trace,0.0025,1.0,A_none,count,learned,"l1=0.0025,l2x1",5,2662942,58742117,3540817.2,19101.099947385228,23713.345921276392,877875.2,19101.099947385228,23713.345921276392,0.014944561837973935,0.0003251687362133246,0.0004036855859531998,0.1657486616663017,0.004163701834245971,0.005169089852442959,0.2962094792424793,0.007782661062372629,0.009661900857461051,1714.6,37.30683583473677,46.31512875249295,59214.6,244.45510835325166,303.4824466952907,216617.4,244.45510835325166,303.4824466952907,51876.6,240.24425071164552,298.2548145612405,88.69123687744141,8.580048975575805,10.651829996165969
conversation_trace,0.0025,1.0,A_none,next_use,learned,"l1=0.0025,l2x1",5,2662942,58742117,3556894.0,22299.936502151748,27684.58935635335,893952.0,22299.936502151748,27684.58935635335,0.015218246220169424,0.0003796243247779395,0.00047129029000356453,0.16904198331761,0.004778303804587774,0.0059320966513581345,0.30209474834992495,0.008847010270067197,0.01098325308390981,1746.0,43.55456348076513,54.07146358662764,59089.2,154.71813080566864,192.07713514898117,216742.8,154.7181308056687,192.07713514898123,51120.0,156.70673246545599,194.5459143914361,84.63825960159302,19.689749963831662,24.44413427927722
conversation_trace,0.0025,1.0,A_pd,binary,learned,"l1=0.0025,l2x1",5,2662942,58742117,3060561.2,17171.475510275755,21317.784833099948,397619.2,17171.475510275755,21317.784833099948,0.006768894624618313,0.00029231965729590177,0.0003629046061295333,0.06736983164215098,0.003615328486298804,0.004488303566328597,0.12039715790333616,0.006540803703693217,0.008120178484803724,776.6,33.538038106007335,41.636298502148335,101981.6,1382.5633077729208,1716.403875462229,173850.4,1382.5633077729208,1716.403875462229,98254.0,1387.9947766472321,1723.1468536484053,98.69431972503662,17.1193136419119,21.253027702263537
conversation_trace,0.0025,1.0,A_pd,count,learned,"l1=0.0025,l2x1",5,2662942,58742117,3473130.8,33125.252530358164,41123.839681784855,810188.8,33125.252530358164,41123.839681784855,0.013792298292552175,0.0005639097503135299,0.0007000741849631474,0.1518858315834803,0.00652693019956341,0.008102955015816253,0.2714228054330573,0.011486284138910275,0.014259819062060657,1582.4,64.69775884835579,80.31999937848605,91287.2,2548.7419838029896,3164.1738168211673,184544.8,2548.74198380299,3164.173816821168,84697.8,2557.6583430943233,3175.2431642836796,109.22756147384644,19.927391254689248,24.73915761043653
conversation_trace,0.0025,1.0,A_pd,next_use,learned,"l1=0.0025,l2x1",5,2662942,58742117,3488900.4,29721.147972445477,36897.7632172707,825958.4,29721.14797244548,36897.7632172707,0.014060753036871316,0.0005059597694180054,0.0006281313153434822,0.15511355587089998,0.00625811121384737,0.007769225669545608,0.27720415214677435,0.011431201785202532,0.014191436251058788,1613.2,58.04911713368258,72.06594378373184,73202.8,862.521130175951,1070.7897440781917,202629.2,862.521130175951,1070.7897440781917,66440.6,906.4283203872218,1125.2989813880397,108.45969657897949,23.199399749434672,28.801241443670154
conversation_trace,0.0025,1.0,B,binary,learned,"l1=0.0025,l2x1",5,2662942,58742117,3213342.0,9768.337422509523,12127.048442957715,550400.0,9768.337422509523,12127.048442957715,0.009369767861788161,0.00016629188598207232,0.0002064455464374522,0.09866804814229443,0.0012640997314503526,0.0015693354986595028,0.17632216219043637,0.0018992638433096244,0.002357869475382715,1075.0,19.078784028338912,23.685641490151788,57111.0,184.98243159824665,229.64920355011031,218721.0,184.98243159824665,229.64920355011031,50317.6,180.08137049678405,223.5647080184169,80.22790088653565,18.495475404050293,22.961484283251597
conversation_trace,0.0025,1.0,B,count,learned,"l1=0.0025,l2x1",5,2662942,58742117,3369399.6,8834.040344032848,10967.151375449403,706457.6,8834.040344032848,10967.151375449403,0.012026423902972375,0.00015038682286565983,0.000186699968192318,0.13063379290093793,0.0024620182009195608,0.0030565092808111385,0.23345858901672437,0.0049204776234042236,0.006108600462962181,1379.8,17.253985046939157,21.420217530174614,61294.2,158.0844710906166,196.2563285925832,214537.8,158.08447109061663,196.2563285925832,54150.8,159.25200155728027,197.70577673462145,75.12505412101746,16.439427287367064,20.408972629158477
conversation_trace,0.0025,1.0,B,next_use,learned,"l1=0.0025,l2x1",5,2662942,58742117,3475949.2,11223.072315547111,13933.050811270208,813007.2,11223.07231554711,13933.050811270205,0.013840277496297928,0.0001910566538748867,0.00023719013755105542,0.15246121501401477,0.0024480652240246024,0.0030391871491719596,0.27246082667320637,0.0046633627591361184,0.005789401373135617,1588.4,22.187834504520715,27.545418656466264,71004.8,192.99533673122778,239.59694434912979,204827.2,192.99533673122778,239.59694434912979,63971.4,179.85772154678264,223.28705568787456,97.36893320083618,4.33713379457534,5.384399550859484
conversation_trace,0.0025,1.0,C_lfu,binary,learned,"l1=0.0025,l2x1",5,2662942,58742117,2839070.0,7498.659080128927,9309.322353300351,176128.0,7498.659080128927,9309.322353300351,0.002998325715772212,0.00012765387873455296,0.00015847781504538464,0.021997153734512515,0.0021585412447131585,0.002679753279246758,0.03931658866625367,0.003933188385545825,0.0048829154874278574,344.0,14.64581851587681,18.18227022128975,42841.0,234.68169932911258,291.34910203671467,232991.0,234.68169932911258,291.34910203671467,37161.2,222.34140415136358,276.0290582106166,77.1752537727356,16.821285738809824,20.88303650909041
conversation_trace,0.0025,1.0,C_lfu,count,learned,"l1=0.0025,l2x1",5,2662942,58742117,2977581.2,30510.994873979445,37878.33045436782,314639.2,30510.994873979445,37878.33045436782,0.00535627954981602,0.0005194057761653269,0.0006448240613181819,0.05037569754285365,0.005474275253314031,0.006796120804963846,0.09000691951772448,0.009556685818372074,0.011864290396691828,615.2,59.56676925937818,73.95005569058078,46409.2,152.65221911259593,189.51237821060656,229422.8,152.65221911259596,189.5123782106066,39758.8,142.87477034102278,177.3740183472202,80.93185057640076,19.138837625544763,23.760195925670267
conversation_trace,0.0025,1.0,C_lfu,next_use,learned,"l1=0.0025,l2x1",5,2662942,58742117,3238061.8,6572.426545804829,8159.43713462348,575119.8,6572.426545804829,8159.43713462348,0.00979058687993829,0.00011188610287580947,0.00013890267411750736,0.10373013997387244,0.0018026842833073617,0.0022379693376122804,0.18537694956866319,0.0035766964067872583,0.0044403431940129206,1124.4,12.83744522870497,15.93723818482989,55365.0,316.45694809878955,392.87020643464416,220467.0,316.45694809878955,392.87020643464416,48433.6,321.88942200699915,399.61443233516974,69.22351188659668,19.110309525829745,23.72477929003764
conversation_trace,0.0025,1.0,C_lru,binary,learned,"l1=0.0025,l2x1",5,2662942,58742117,3165726.0,21800.62090858882,27064.706552396503,502784.0,21800.62090858882,27064.706552396503,0.008559173990954395,0.0003711241954148298,0.00046073767740438217,0.08891494293219541,0.003919608628708019,0.004866056695404951,0.15888808986701863,0.006776590634385401,0.008412899692829504,982.0,42.579337712087536,52.86075498514942,52193.6,96.0536308527689,119.24721516983108,223638.4,96.05363085276892,119.24721516983111,45458.2,96.60590044091511,119.9328385015547,78.4464720249176,15.810688657735831,19.62841566335109
