trace,l1_policy,l1_fraction,l1_capacity_bytes,requested_tokens,l1_avoided_tokens,events_total,events_measured,distinct_states_measured,share_repeat_evictions,share_reused_before_end,share_censored,share_reused_with_l1_ancestors,mean_depth,mean_frequency,median_seconds_since_last_use,median_seconds_to_reuse,p90_seconds_to_reuse,median_requests_to_reuse,median_arriving_bytes_to_reuse,median_distinct_bytes_to_reuse,p90_distinct_bytes_to_reuse,median_distinct_bytes_to_reuse_over_l1,median_missing_ancestor_blocks,mean_missing_ancestor_blocks,rescue_tokens_self,rescue_tokens_with_ancestors,rescue_fraction_self,rescue_fraction_with_ancestors,missing_ancestor_bytes_total,share_reused_within_1xL1_distinct_bytes,rescue_fraction_with_ancestors_within_1xL1,share_reused_within_2xL1_distinct_bytes,rescue_fraction_with_ancestors_within_2xL1,share_reused_within_4xL1_distinct_bytes,rescue_fraction_with_ancestors_within_4xL1,share_reused_within_8xL1_distinct_bytes,rescue_fraction_with_ancestors_within_8xL1,share_reused_within_16xL1_distinct_bytes,rescue_fraction_with_ancestors_within_16xL1
conversation_trace,lfu,0.0025,464360509,58742117,3630080,270081,110093,78357,0.356380514655791,0.2894552787189013,0.7105447212810987,0.056798569052624974,31.71531341683849,1.9956491330057315,0.0,111.0,450.001,406.0,9202190336.0,8273696768.0,28895406080.0,17.81739964455074,14.0,26.639282015878496,1113094,20073409,0.01894882337999497,0.3417208984824296,1101587808256,0.0032949446135500673,0.0008928687401579347,0.010073116389995921,0.0028772711749561223,0.038252737942071735,0.010692089970131652,0.13211158879091223,0.037332447518021866,0.44685725044717106,0.12884133883019572
conversation_trace,lfu,0.01,1857442038,58742117,5959928,258128,105542,78189,0.3286274658429819,0.2640560156146368,0.7359439843853631,0.0644084825433277,31.518134960489665,1.6307820583274906,0.0,108.0,458.999,387.0,9034674176.0,8062707712.0,29061201920.0,4.340758713893176,13.0,25.037317449495855,1105678,17743561,0.018822576653136285,0.30205858941038843,914840616960,0.03918332197064839,0.009585149952971562,0.13782338799382826,0.03411622022406853,0.45799992823567404,0.11547961405612944,0.7187914887509419,0.18734159683077134,0.9049840324374754,0.24914228065699437
conversation_trace,lfu,0.02,3714884076,58742117,6979188,249052,103551,78415,0.31551602591959516,0.25414530038338595,0.745854699616614,0.06866284150929057,31.781064403047772,1.5374356597232282,0.0,108.0,459.001,386.0,9034674176.0,7999465472.0,29061201920.0,2.1533553425477066,13.0,25.179427746323668,1098089,16724301,0.018693384850259995,0.28470715483406905,871461027840,0.1386176235893149,0.032434020040510284,0.4616407645248319,0.11001464247534695,0.7181289660675609,0.1769281485037388,0.904700383782346,0.23416161525128554,0.998594064673025,0.2686434504905569
conversation_trace,lru,0.0025,464360509,58742117,2662942,275832,111974,78397,0.36811224034150786,0.3002839944987229,0.6997160055012771,0.05383059719248156,31.69478628967439,2.286200367942558,6.0,105.001,447.001,385.0,8784631808.0,7953346560.0,28452073472.0,17.127525717308576,15.0,27.449827504163693,1112070,21040547,0.018931391253740482,0.3581850310229711,1188754882560,0.006810611467999049,0.002088773886034785,0.020193909112538662,0.005998132481333623,0.052313823459433736,0.015400023802342705,0.16556626219367118,0.04892047046925462,0.4706459671663098,0.1425006184234048
conversation_trace,lru,0.01,1857442038,58742117,3218284,271289,110907,78586,0.3611313983788219,0.2978441396846006,0.7021558603153993,0.05373414464323555,31.411128242581622,2.267232906849883,23.999,96.001,435.001,341.0,8048558080.0,7252381696.0,27801331712.0,3.9044996008645305,15.0,27.73471982562892,1078531,20485205,0.01836043804822356,0.34873113272373213,1168721838080,0.1010807374443738,0.029202880107300183,0.2644022644022644,0.07662406855374314,0.5073108709472346,0.15208260199406842,0.7270305452123634,0.2247281792721226,0.9152968243877335,0.29456195799003976
conversation_trace,lru,0.02,3714884076,58742117,4770907,261582,107839,78105,0.34562635039271505,0.28565732249000825,0.7143426775099917,0.05180977114104853,31.820083643208857,2.2199668023627814,45.0,87.001,435.0,311.0,7099719680.0,6545567744.0,27319111680.0,1.7619843876926404,16.0,28.898230806687227,971026,18932582,0.016530320144914082,0.3222999606908958,1110831005696,0.3399123518909268,0.09237448830793756,0.5256289563382568,0.14840209112654212,0.7315046258724233,0.20967608300531626,0.922642428177244,0.273421436275441,0.9988313585456906,0.3062013920948746
synthetic_trace,lfu,0.0025,109270871,32087376,754176,120188,62084,19623,0.8851878100637846,0.6856033760711294,0.3143966239288706,0.023916363209209444,40.35437471812383,4.989771921912248,0.0,29.271,124.872,119.0,4745216000.0,3769434112.0,11239809024.0,34.496239276796835,28.0,41.598191001996945,652057,28095624,0.020321293956850818,0.87559743121407,2341376884736,0.022835663103488783,0.015503417917376604,0.05516269235287208,0.03745946692555976,0.09510160930341831,0.0645783874630322,0.1919887231293316,0.13033424733764457,0.310137436861271,0.21053899826523678
synthetic_trace,lfu,0.01,437083484,32087376,2482701,116003,58707,19649,0.8785834738617201,0.6722707683921849,0.3277292316078151,0.025058909975422504,40.45813957449708,4.520942988059345,0.0,30.721,129.105,125.0,4981864448.0,3949017088.0,11444135936.0,9.034926352879534,27.0,41.91182506904502,625794,26367099,0.01950281007708452,0.8217281151316331,2210098315264,0.09116477056781615,0.05739799352866996,0.1855220817391745,0.11677128101718258,0.2953860186991664,0.18591822528585697,0.45529176273849037,0.2897142789114323,0.7315732130640789,0.4698616365513964
synthetic_trace,lfu,0.02,874166968,32087376,3986445,112094,55770,19686,0.8721893491124261,0.6591536668459745,0.34084633315402546,0.02570659122439542,40.94572350726197,4.238174645866954,0.0,31.866,129.105,129.0,5142456320.0,4006008832.0,11400769536.0,4.58265866664502,28.0,42.67751149315851,592895,24863355,0.01847751589285456,0.7748640773866956,2115999105024,0.15959848752754277,0.09355467396274472,0.27123854084491716,0.15899972624748127,0.43554310274475666,0.2584556306505088,0.7237561546203858,0.4332097146242186,0.965697342292103,0.6201082943024073
synthetic_trace,lru,0.0025,109270871,32087376,392704,120847,62786,19619,0.8865352148568152,0.6891663746695124,0.3108336253304877,0.023457360758030968,40.35461727136623,5.1965884114293,0.55,28.619,123.779,116.0,4648202240.0,3651983360.0,11176738816.0,33.421380525098954,28.0,41.59341345042755,655521,28457096,0.020429249185100085,0.8868626714755361,2369529053184,0.036052692396579614,0.024885799324943243,0.05833140744164548,0.04026614703551951,0.11280332794083661,0.07787009445708493,0.1913797088051768,0.13207349831285675,0.31247977813727756,0.21563296419127573
