trace,l1_policy,l1_capacity_bytes,l2_policy,l2_capacity_bytes,hit_model,closure,measured_requests,requested_tokens,requested_blocks,avoided_prefill_tokens,l1_avoided_tokens,l2_avoided_tokens,l1_hit_blocks,l2_hit_blocks,l2_present_unusable_blocks,l2_present_unusable_tokens,l1_evictions,l2_admissions,l2_rejections,l2_evictions,l2_ancestor_copy_bytes,l2_byte_seconds,l2_already_held,offline_tiebreak,l2_eviction,l2_sample_width,l2_seed,l2_arm,l2_decisions,l2_byte_seconds_depth_1,l2_avoided_tokens_depth_1,l2_admitted_bytes_depth_1,l2_byte_seconds_depth_2-3,l2_avoided_tokens_depth_2-3,l2_admitted_bytes_depth_2-3,l2_byte_seconds_depth_4-7,l2_avoided_tokens_depth_4-7,l2_admitted_bytes_depth_4-7,l2_byte_seconds_depth_8-15,l2_avoided_tokens_depth_8-15,l2_admitted_bytes_depth_8-15,l2_byte_seconds_depth_16-31,l2_avoided_tokens_depth_16-31,l2_admitted_bytes_depth_16-31,l2_byte_seconds_depth_32-63,l2_avoided_tokens_depth_32-63,l2_admitted_bytes_depth_32-63,l2_byte_seconds_depth_64+,l2_avoided_tokens_depth_64+,l2_admitted_bytes_depth_64+,l1_fraction,l2_multiplier,l2_fraction,total_fraction,kind,arm,target,seed,seconds,extra_avoided_tokens,extra_fraction_of_input,gain_vs_lru_s_fraction,headroom_closure
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3672801,2662942,1009859,5203,1973,0,0,275832,275832,0,269335,0,654916034435.0719,0,prefix_first,heap,16,0,lfu,0,0.0,0,0,39625870096.38398,79872,9878917120,68976042702.84799,147651,15911129088,114002117646.336,251904,23737483264,137673387112.44794,191488,28310652928,164305832894.46402,206336,21371944960,130332783982.592,132608,15639199744,0.0025,1.0,0.0025,0.005,heap,lfu,,0,2.5718367099761963,1009859,0.01719139608128185,0.3445677143489952,0.19280239831290527
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3672801,2662942,1009859,5203,1973,0,0,275832,275832,0,269335,0,654916034435.0719,0,prefix_first,heap,16,0,lfu,0,0.0,0,0,39625870096.38398,79872,9878917120,68976042702.84799,147651,15911129088,114002117646.336,251904,23737483264,137673387112.44794,191488,28310652928,164305832894.46402,206336,21371944960,130332783982.592,132608,15639199744,0.0025,1.0,0.0025,0.005,heap,lfu,,1,2.5718367099761963,1009859,0.01719139608128185,0.3470966165980245,0.193649421012492
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3672801,2662942,1009859,5203,1973,0,0,275832,275832,0,269335,0,654916034435.0719,0,prefix_first,heap,16,0,lfu,0,0.0,0,0,39625870096.38398,79872,9878917120,68976042702.84799,147651,15911129088,114002117646.336,251904,23737483264,137673387112.44794,191488,28310652928,164305832894.46402,206336,21371944960,130332783982.592,132608,15639199744,0.0025,1.0,0.0025,0.005,heap,lfu,,2,2.5718367099761963,1009859,0.01719139608128185,0.3413033149479975,0.1917016555705227
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3672801,2662942,1009859,5203,1973,0,0,275832,275832,0,269335,0,654916034435.0719,0,prefix_first,heap,16,0,lfu,0,0.0,0,0,39625870096.38398,79872,9878917120,68976042702.84799,147651,15911129088,114002117646.336,251904,23737483264,137673387112.44794,191488,28310652928,164305832894.46402,206336,21371944960,130332783982.592,132608,15639199744,0.0025,1.0,0.0025,0.005,heap,lfu,,3,2.5718367099761963,1009859,0.01719139608128185,0.3458329501062104,0.19322679268592047
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3672801,2662942,1009859,5203,1973,0,0,275832,275832,0,269335,0,654916034435.0719,0,prefix_first,heap,16,0,lfu,0,0.0,0,0,39625870096.38398,79872,9878917120,68976042702.84799,147651,15911129088,114002117646.336,251904,23737483264,137673387112.44794,191488,28310652928,164305832894.46402,206336,21371944960,130332783982.592,132608,15639199744,0.0025,1.0,0.0025,0.005,heap,lfu,,4,2.5718367099761963,1009859,0.01719139608128185,0.3438160076074425,0.19254966510847732
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3268638,2662942,605696,5203,1183,714,365251,275832,45827,230005,39500,0,655284314036.224,0,prefix_first,sampled,16,0,lfu_s,269505,0.0,0,0,39524715085.823975,72704,1333348352,68890721335.296,115712,1872717824,111874257631.23196,188416,2791137280,135215105062.91199,121856,2897975296,158874918858.752,107008,2227222528,140904596062.20807,0,1550249984,0.0025,1.0,0.0025,0.005,sampled,lfu_s,,0,15.221312761306763,605696,0.0103111026795306,0.19660856242804087,0.11001205506614924
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3293409,2662942,630467,5203,1232,640,327680,275832,45536,230296,39250,0,655297805981.696,0,prefix_first,sampled,16,1,lfu_s,269546,0.0,0,0,38834030505.98401,72704,1324111872,67690838384.64003,114883,1903800320,109832946976.76799,193536,2645252096,135147810134.01607,125440,2909642752,162473895692.28796,123904,2237140992,141318284288.00003,0,1472530432,0.0025,1.0,0.0025,0.005,sampled,lfu_s,,1,8.20372724533081,630467,0.010732793303993453,0.20794459622873201,0.1160148175947376
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3282462,2662942,619520,5203,1210,677,346624,275832,45692,230140,39405,0,655287762497.536,0,prefix_first,sampled,16,2,lfu_s,269545,0.0,0,0,39138064998.4,77312,1320374272,70267535771.64803,120320,1896622080,109782613477.37596,191488,2706395136,132588606511.10396,118272,2929033216,162233985300.48,112128,2241052672,141276956438.52805,0,1535399936,0.0025,1.0,0.0025,0.005,sampled,lfu_s,,2,8.584973812103271,619520,0.010546436383966209,0.19875189583939715,0.11163403873178838
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3345121,2662942,682179,5203,1333,556,284672,275832,45531,230301,39226,0,655286882127.872,0,prefix_first,sampled,16,3,lfu_s,269527,0.0,0,0,39373376966.65602,76800,1298493440,67474693722.11202,126147,1883301888,109618264619.00797,187904,2694811648,135815891214.33603,123392,3011510272,160242002106.36795,125952,2204647424,142762653499.392,41984,1513347072,0.0025,1.0,0.0025,0.005,sampled,lfu_s,,3,8.848677635192871,682179,0.011613115679845179,0.22576041116636503,0.12613881977334468
conversation_trace,lru,464360509,lfu,464360509,tree,union,5183,58742117,117184,3317278,2662942,654336,5203,1278,612,313027,275832,45575,230257,39263,0,655298132422.656,0,prefix_first,sampled,16,4,lfu_s,269520,0.0,0,0,40485368295.42402,73216,1317961728,67148358273.02401,118272,1864523776,109896648292.35197,190464,2734016512,136674192066.55994,122880,2973554688,159446714124.28806,123904,2218975232,141646851371.00803,25600,1495965696,0.0025,1.0,0.0025,0.005,sampled,lfu_s,,4,8.78229308128357,654336,0.011139128676618856,0.21373613165646646,0.11970012931749012
