trace,horizon_seconds,variant,feature,standardized_coefficient,converged,newton_iterations
conversation_trace,10,base0,log_frequency,0.7042791162080329,True,7
conversation_trace,10,base0,neg_log_recency,0.2599882552968851,True,7
conversation_trace,10,base0,log_prefix_tokens,-0.06870205979963252,True,7
conversation_trace,10,base1,log_frequency,0.150280483784064,True,7
conversation_trace,10,base1,neg_log_recency,0.03863063314340627,True,7
conversation_trace,10,base1,log_prefix_tokens,-0.10685029043707663,True,7
conversation_trace,10,base1,log_age,0.07906795743431881,True,7
conversation_trace,10,base1,log_reuse_rate,0.03889296996323492,True,7
conversation_trace,10,base1,single_occurrence,0.10338301217414952,True,7
conversation_trace,10,base1,log_mean_interval,0.1388793394573162,True,7
conversation_trace,10,base1,log_median_interval,0.14009368349123744,True,7
conversation_trace,10,base1,log_std_interval,-0.001697492954692844,True,7
conversation_trace,10,base1,interval_cv,0.18782937390510226,True,7
conversation_trace,10,base1,log_interval_lag1,0.1233381266245786,True,7
conversation_trace,10,base1,log_interval_lag2,0.023216490481575775,True,7
conversation_trace,10,base1,log_interval_lag3,-0.17772859198583033,True,7
conversation_trace,10,base1,log_interval_lag4,0.2282726441850373,True,7
conversation_trace,10,base1,log_freq_10s,-0.3023037577901727,True,7
conversation_trace,10,base1,log_freq_60s,0.07463329060258127,True,7
conversation_trace,10,base1,log_freq_300s,0.17343776351355183,True,7
conversation_trace,10,base1,log_freq_600s,0.28766412172770417,True,7
conversation_trace,10,base1,recent_over_lifetime,0.3734622665147149,True,7
conversation_trace,10,base1,interval_trend,0.045245629039353884,True,7
conversation_trace,10,base1,burstiness,0.17859542447151777,True,7
conversation_trace,10,base2,log_frequency,0.07392304137364512,True,7
conversation_trace,10,base2,neg_log_recency,0.0645697352633898,True,7
conversation_trace,10,base2,log_prefix_tokens,-0.11067459134871976,True,7
conversation_trace,10,base2,log_age,0.05587152238717258,True,7
conversation_trace,10,base2,log_reuse_rate,-0.03909816913200049,True,7
conversation_trace,10,base2,single_occurrence,0.12179182294112907,True,7
conversation_trace,10,base2,log_mean_interval,0.13394633924414973,True,7
conversation_trace,10,base2,log_median_interval,0.1365589284028154,True,7
conversation_trace,10,base2,log_std_interval,0.0103297770717368,True,7
conversation_trace,10,base2,interval_cv,0.17137890373265968,True,7
conversation_trace,10,base2,log_interval_lag1,0.11731372849001447,True,7
conversation_trace,10,base2,log_interval_lag2,0.00947637703722795,True,7
conversation_trace,10,base2,log_interval_lag3,-0.1899999278064333,True,7
conversation_trace,10,base2,log_interval_lag4,0.22751036655629814,True,7
