trace,l1_policy,l1_capacity_bytes,l2_policy,l2_capacity_bytes,hit_model,closure,measured_requests,requested_tokens,requested_blocks,avoided_prefill_tokens,l1_avoided_tokens,l2_avoided_tokens,l1_hit_blocks,l2_hit_blocks,l2_present_unusable_blocks,l2_present_unusable_tokens,l1_evictions,l2_admissions,l2_rejections,l2_evictions,l2_ancestor_copy_bytes,l2_byte_seconds,l2_already_held,offline_tiebreak,l2_byte_seconds_depth_1,l2_avoided_tokens_depth_1,l2_admitted_bytes_depth_1,l2_byte_seconds_depth_2-3,l2_avoided_tokens_depth_2-3,l2_admitted_bytes_depth_2-3,l2_byte_seconds_depth_4-7,l2_avoided_tokens_depth_4-7,l2_admitted_bytes_depth_4-7,l2_byte_seconds_depth_8-15,l2_avoided_tokens_depth_8-15,l2_admitted_bytes_depth_8-15,l2_byte_seconds_depth_16-31,l2_avoided_tokens_depth_16-31,l2_admitted_bytes_depth_16-31,l2_byte_seconds_depth_32-63,l2_avoided_tokens_depth_32-63,l2_admitted_bytes_depth_32-63,l2_byte_seconds_depth_64+,l2_avoided_tokens_depth_64+,l2_admitted_bytes_depth_64+,l1_fraction,l2_multiplier,l2_fraction,total_fraction,seconds,l1_only_avoided_tokens,extra_avoided_tokens,extra_fraction_of_input,rescue_ceiling_tokens,extra_over_rescue_ceiling,single_tier_lru_avoided_tokens,single_tier_lfu_avoided_tokens,single_tier_offline_next_use_avoided_tokens,l2_closure_vs_offline,standalone_cost_tokens,standalone_cost_fraction,dependency_cost_tokens,dependency_cost_fraction
conversation_trace,lfu,464360509,lfu,464360509,tree,standalone,5183,58742117,117184,3630080,3630080,0,7090,0,0,0,270081,262697,0,8268705,8395371315200,654883946496.0,7384,prefix_first,1481637888.0,0,0,38701880049.664,0,220533596160,68419566174.208,0,387693328384,114060926386.17601,0,609487243264,137009027874.81598,0,789117978624,164788974911.48798,0,761844946944,130421933211.64801,0,705724891136,0.0025,1.0,0.0025,0.005,60.77991342544556,3630080,0,0.0,20073409,0.0,2746225,4710400,11097798,-0.001903694002293245,1078784,1.0,,
conversation_trace,lfu,464360509,lru,464360509,tree,standalone,5183,58742117,117184,3639326,3630080,9246,7090,20,0,0,270081,22591,0,547290,550662832128,655398963841.0237,247490,prefix_first,1481637888.0,0,0,58333094594.55998,5120,12193079296,94290811027.45605,4126,20074055680,139199044491.26395,0,30422681600,163692296083.45584,0,37280598016,120348123856.89586,0,28438386688,78053955899.39203,0,21343453184,0.0025,1.0,0.0025,0.005,8.268885612487793,3630080,9246,0.0001573998431142684,20073409,0.0004606093563878462,2746225,4710400,11097798,0.0,10947,0.5421185559352251,,
conversation_trace,lfu,464360509,offline_next_use,464360509,tree,standalone,5183,58742117,117184,8496199,3630080,4866119,7090,9521,0,0,270081,225880,0,7291477,7409279959040,655188848484.3519,44201,prefix_first,1481637888.0,0,0,82449165813.76003,639691,165700970496,124957704409.08794,949758,299281610752,158050212638.71997,1173402,483360327680,155757915164.67203,1207030,644537174016,93208743206.91202,660718,643944671232,39283469363.2,235520,619443863552,0.0025,1.0,0.0025,0.005,53.82641887664795,3630080,4866119,0.08283867263415107,20073409,0.24241617355577222,2746225,4710400,11097798,1.0,-362613,-0.08051793424944921,,
conversation_trace,lfu,464360509,lfu,464360509,independent,union,5183,58742117,117184,4708864,3630080,1078784,7090,2107,0,0,270081,270081,0,264799,0,654883946495.9999,0,prefix_first,0.0,0,0,45197845069.824005,79360,9729974272,72660057849.856,125440,15626057728,121151441338.36797,189440,23250421760,160916531314.688,326144,27906328576,158327619190.78394,242688,20963088384,96630451732.48001,115712,15392784384,0.0025,1.0,0.0025,0.005,4.043078184127808,3630080,1078784,0.018364745009104795,20073409,0.053741942885735056,2746225,4710400,11097798,0.20582017587606044,,,0,0.0
conversation_trace,lfu,464360509,lru,464360509,independent,union,5183,58742117,117184,3650273,3630080,20193,7090,42,0,0,270081,270081,0,269477,0,655403669043.2001,0,prefix_first,0.0,0,0,60550702286.84801,7680,9729974272,96522239408.12799,7393,15626057728,140672627845.12003,4096,23250421760,164470545344.512,1024,27906328576,118095851653.12004,0,20963088384,75091702505.472,0,15392784384,0.0025,1.0,0.0025,0.005,3.540524482727051,3630080,20193,0.00034375676314151224,20073409,0.0010059576826238134,2746225,4710400,11097798,0.0,,,0,0.0
conversation_trace,lfu,464360509,lru_2hit,464360509,independent,union,5183,58742117,117184,3820062,3630080,189982,7090,373,0,0,270081,87293,182788,85834,0,655217186158.5919,0,prefix_first,0.0,0,0,70574534301.696,28672,4125700096,107770018258.94392,42526,6367426560,143149114920.96002,55296,8570501120,157323345291.26398,57344,9727205376,104419166996.48,6144,6979334144,71981006389.24802,0,5340971008,0.0025,1.0,0.0025,0.005,1.9236552715301514,3630080,189982,0.003234170127031683,20073409,0.00946436153420677,2746225,4710400,11097798,0.03301180705467969,,,0,0.0
conversation_trace,lfu,464360509,offline_next_use,464360509,independent,union,5183,58742117,117184,8793554,3630080,5163474,7090,10102,0,0,270081,270081,0,245005,0,655237648742.4,0,prefix_first,0.0,0,0,71800826683.39198,614998,9729974272,111288863608.83192,933374,15626057728,142708865642.496,1190298,23250421760,148453378770.94406,1254646,27906328576,97761921456.12802,748782,20963088384,83223792580.60802,421376,15392784384,0.0025,1.0,0.0025,0.005,2.5911121368408203,3630080,5163474,0.08790071355446723,20073409,0.25722955179162643,2746225,4710400,11097798,1.0,,,659968,0.12781472318830306
conversation_trace,lfu,464360509,lfu,464360509,tree,union,5183,58742117,117184,4708864,3630080,1078784,7090,2107,0,0,270081,270081,0,264799,0,654883946495.9999,0,prefix_first,0.0,0,0,45197845069.824005,79360,9729974272,72660057849.856,125440,15626057728,121151441338.36797,189440,23250421760,160916531314.688,326144,27906328576,158327619190.78394,242688,20963088384,96630451732.48001,115712,15392784384,0.0025,1.0,0.0025,0.005,4.048308849334717,3630080,1078784,0.018364745009104795,20073409,0.053741942885735056,2746225,4710400,11097798,0.23611802254270448,,,0,0.0
conversation_trace,lfu,464360509,lru,464360509,tree,union,5183,58742117,117184,3650273,3630080,20193,7090,42,0,0,270081,270081,0,269477,0,655403669043.2001,0,prefix_first,0.0,0,0,60550702286.84801,7680,9729974272,96522239408.12799,7393,15626057728,140672627845.12003,4096,23250421760,164470545344.512,1024,27906328576,118095851653.12004,0,20963088384,75091702505.472,0,15392784384,0.0025,1.0,0.0025,0.005,3.51300311088562,3630080,20193,0.00034375676314151224,20073409,0.0010059576826238134,2746225,4710400,11097798,0.0,,,0,0.0
conversation_trace,lfu,464360509,lru_2hit,464360509,tree,union,5183,58742117,117184,3820062,3630080,189982,7090,373,0,0,270081,87293,182788,85834,0,655217186158.5919,0,prefix_first,0.0,0,0,70574534301.696,28672,4125700096,107770018258.94392,42526,6367426560,143149114920.96002,55296,8570501120,157323345291.26398,57344,9727205376,104419166996.48,6144,6979334144,71981006389.24802,0,5340971008,0.0025,1.0,0.0025,0.005,2.0440642833709717,3630080,189982,0.003234170127031683,20073409,0.00946436153420677,2746225,4710400,11097798,0.03787132417477879,,,0,0.0
conversation_trace,lfu,464360509,offline_next_use,464360509,tree,union,5183,58742117,117184,8133586,3630080,4503506,7090,8813,1289,659968,270081,270081,0,245005,0,655237648742.4,0,prefix_first,0.0,0,0,71800826683.39198,612950,9729974272,111288863608.83192,907262,15626057728,142708865642.496,1108890,23250421760,148453378770.94406,1143542,27906328576,97761921456.12802,572142,20963088384,83223792580.60802,158720,15392784384,0.0025,1.0,0.0025,0.005,2.1818079948425293,3630080,4503506,0.07666570818344869,20073409,0.22435182783352842,2746225,4710400,11097798,1.0,,,659968,0.12781472318830306
conversation_trace,lfu,464360509,lfu,928721019,tree,standalone,5183,58742117,117184,4710400,3630080,1080320,7090,2110,0,0,270081,246455,0,7766960,7886749040640,1311249530880.0002,23626,prefix_first,1481637888.0,0,0,84022409560.06401,79872,213968461824,141167701262.336,125952,376604637184,235460881285.12,189440,591866972160,298167783391.23206,326144,764840298496,323399709622.2721,243200,729886447616,227549407870.976,115712,675919118336,0.0025,2.0,0.005,0.0075,51.83597183227539,3630080,1080320,0.01839089319848653,20073409,0.05381846202605646,2935532,5431808,13341023,0.12681910058481946,719360,0.39971550497866287,,
conversation_trace,lfu,464360509,lru,928721019,tree,standalone,5183,58742117,117184,3715441,3630080,85361,7090,170,0,0,270081,18763,0,492520,497710792704,1311535861448.704,251318,prefix_first,1481637888.0,0,0,114535423287.29599,21504,11213709312,184756416290.8161,25740,18392963072,274913210226.6879,22245,27927650304,325096110202.88,15872,33748994048,242690195128.31998,0,25762420736,168062868424.70398,0,16708747264,0.0025,2.0,0.005,0.0075,8.172935009002686,3630080,85361,0.0014531481730561395,20073409,0.004252441625635187,2935532,5431808,13341023,0.0,33280,0.2805101103328529,,
conversation_trace,lfu,464360509,offline_next_use,928721019,tree,standalone,5183,58742117,117184,11560939,3630080,7930859,7090,15510,0,0,270081,202882,0,6328054,6423638441984,1311465572188.1602,67199,prefix_first,1481637888.0,0,0,142994316255.232,933085,142692067328,221260999380.99185,1406974,257732835328,295212104740.8642,1811310,418438793216,307322502770.6881,1905332,549511632896,200242131263.488,1153774,530063026176,142951879888.89603,720384,501163442176,0.0025,2.0,0.005,0.0075,49.04024291038513,3630080,7930859,0.13501146034624525,20073409,0.3950927816994114,2935532,5431808,13341023,1.0,-411648,-0.05474616951166818,,
conversation_trace,lfu,464360509,lfu,928721019,independent,union,5183,58742117,117184,5429760,3630080,1799680,7090,3515,0,0,270081,270081,0,260971,0,1311163564032.0,0,prefix_first,0.0,0,0,107554580070.40002,130560,9729974272,159607986061.31204,195584,15626057728,250154643881.98398,306688,23250421760,302178706128.8961,491008,27906328576,244328671739.90393,356352,20963088384,247338976149.504,319488,15392784384,0.0025,2.0,0.005,0.0075,2.033709764480591,3630080,1799680,0.030636961892265478,20073409,0.08965492607658221,2935532,5431808,13341023,0.20531553370785144,,,0,0.0
conversation_trace,lfu,464360509,lru,928721019,independent,union,5183,58742117,117184,3748721,3630080,118641,7090,235,0,0,270081,270081,0,268462,0,1311521802176.5117,0,prefix_first,0.0,0,0,117285657849.85597,26624,9729974272,187414808008.70392,34956,15626057728,275960954146.81604,31461,23250421760,326708668821.5037,25600,27906328576,238800233601.02393,0,20963088384,165351479748.60806,0,15392784384,0.0025,2.0,0.005,0.0075,2.546053647994995,3630080,118641,0.0020196922763270515,20073409,0.005910356332599012,2935532,5431808,13341023,0.0,,,0,0.0
conversation_trace,lfu,464360509,lru_2hit,928721019,independent,union,5183,58742117,117184,4185892,3630080,555812,7090,1088,0,0,270081,87293,182788,82920,0,1311342580692.9922,0,prefix_first,0.0,0,0,135964431966.20795,79622,4125700096,209126646091.77612,114718,6367426560,280613491879.93585,133120,8570501120,314457587730.4322,153600,9727205376,215633589293.05603,52224,6979334144,155546833731.58395,22528,5340971008,0.0025,2.0,0.005,0.0075,2.0591366291046143,3630080,555812,0.009461899372812867,20073409,0.027688969023647154,2935532,5431808,13341023,0.053394357410265395,,,0,0.0
conversation_trace,lfu,464360509,offline_next_use,928721019,independent,union,5183,58742117,117184,11936309,3630080,8306229,7090,16244,0,0,270081,270081,0,230610,0,1311520756324.352,0,prefix_first,0.0,0,0,130751151267.83997,926429,9729974272,199626105343.99997,1399415,15626057728,264647610249.2159,1815406,23250421760,295038399473.6641,1984180,27906328576,205416469192.70404,1259199,20963088384,216041020796.92792,921600,15392784384,0.0025,2.0,0.005,0.0075,3.8639326095581055,3630080,8306229,0.14140159436201458,20073409,0.4137926447869418,2935532,5431808,13341023,1.0,,,787018,0.09475033736729387
conversation_trace,lfu,464360509,lfu,928721019,tree,union,5183,58742117,117184,5429760,3630080,1799680,7090,3515,0,0,270081,270081,0,260971,0,1311163564032.0,0,prefix_first,0.0,0,0,107554580070.40002,130560,9729974272,159607986061.31204,195584,15626057728,250154643881.98398,306688,23250421760,302178706128.8961,491008,27906328576,244328671739.90393,356352,20963088384,247338976149.504,319488,15392784384,0.0025,2.0,0.005,0.0075,2.040956497192383,3630080,1799680,0.030636961892265478,20073409,0.08965492607658221,2935532,5431808,13341023,0.22714993574819237,,,0,0.0
